company_name,address,city,state,county,zip1,zip2,url,latitude,longitude
Invest Appalachia,,,,,,,https://www.investappalachia.org/,0,0
New Bottom Line,,,,,,,http://www.newbottomline.com,0,0
Numi Kingdom Global Enterprise Trust,2870 Peachtree Rd NW Unit 872,Atlanta,GA,Fulton County,30305,,privateofficeofnumikingdom.org,33.832941,-84.384471
Meant2BFree,7305 Hancock Village Dr Ste 342,Chesterfield,VA,Chesterfield County,23112,,meant2bfree.com,37.454138,-77.66258
City of Albuquerque,1 Civic Plaza,Albuquerque,NM,Bernalillo County,87102,,cabq.gov,35.08756,-106.651579
HousingWorks RI,1 Empire Street,Providence,RI,Providence County,02903,,http://www.housingworksri.org,41.819883,-71.414313
City of Toledo Mayor's Office,1 Government Center Suite 1800,Toledo,OH,Lucas County,43604,,https://toledo.oh.gov/government/mayors-office/mayors-staff/,41.655194,-83.535087
Corporation for Ohio Appalachian Development,1 Pinchot Lane,Athens,OH,Athens County,45701,,http://www.coadinc.org/,39.338529,-82.069845
The University of New Mexico Office of Community Health,1 University of New Mexico,Albuquerque,NM,Bernalillo County,87131,,hsc.unmhttps://hsc.unm.edu/about/administrative-departments/community-health/.edu,35.056434,-106.63094
Empire Justice Center,1 W. Main Street Suite 200,Rochester,NY,Monroe County,14604,,http://www.empirejustice.org,43.155558,-77.612879
Capital For Change,10 Alexander Dr,Wallingford,CT,New Haven County,06492,,capitalforchange.org,41.48107,-72.800897
Reservoir Hill Improvement Council,10 E North Ave Suite 5,Baltimore,MD,City of Baltimore,21202,,reservoirhillbaltimore.org,39.311472,-76.615697
Enterprise Community Partners,10 G Street NE Suite 580,Washington,DC,District of Columbia,20002,,enterprisecommunity.com,38.899133,-77.008114
Massachusetts Alliance Against Predatory Lending,"10 Oxford St., #2R",Worcester,MA,Worcester County,01609,,maapl.info,42.263319,-71.807188
Rock Island Economic Growth Corporation,"100 19 Street, STE 109",Rock Island,IL,Rock Island County,61201,,http://www.economicgrowthcorporation.com/,41.511985,-90.573207
Bridge Investment CDC,"100 19th St, Ste 108",Rock Island,IL,Rock Island County,61201,,www.bridgeinvestmentcdc.org,41.511985,-90.573207
Southeast Alabama Community Action Partnership,100 George Wallace Drive,Enterprise,AL,Coffee County,36331,,southeastalabamacommunityactionpartnership.org,31.301397,-85.837465
"Urban Strategies, Inc.","100 N Broadway, Suite 1110",St. Louis,MO,St. Louis City,63102,,usi-inc.org,38.626453,-90.18895
Chicago Lawyers' Committee for Civil Rights,"100 North LaSalle Street, Suite 600",Chicago,IL,Cook County,60602,,https://www.clccrul.org/,41.883458,-87.632775
Low Income Investment Fund,"100 Pine Street, Suite 1800",San Franciso,CA,San Francisco County,94111,,http://www.liifund.org,37.792641,-122.39897
Fiesta Cristiana Mission Congregation,100 South Hughes Street,Apex,NC,Wake County,27502,,www.fiestacristiana.org,35.729325,-78.850485
CommunityWorks Carolina,100 W. Antrim Drive,Greenville,SC,Greenville County,29607,,https://communityworkscarolina.org/,34.841963,-82.365226
"HOND, INC.",100 West 10th Street Suite 100,Wilmington,DE,New Castle County,19801,,www.hond.org,39.745663,-75.548915
"Pratt Area Community Council, Inc. fka IMPACCT Brooklyn","1000 Dean Street, Suite 420",Brooklyn,NY,Kings County,11238,,https://impacctbrooklyn.org/,40.677805,-73.957119
"Career Resources, Inc.",1000 Lafayette Blvd Suite 303,Bridgeport,CT,Fairfield County,06604,,www.careerresources.org,41.176203,-73.192095
LegalCORPS,1000 Lasalle Avenue,Minneapolis,MN,Hennepin County,55403,,legalcorps.org,44.974525,-93.276455
Vision y Compromiso,1000 North Alameda Street,Los Angeles,CA,Los Angeles County,90012,,visionycompromiso.org,34.05907,-118.23663
Women On The Rise GA,10001 Virginia Ave #203,Hapeville,GA,Fulton County,30354,,womenontherisega.org,33.658773,-84.424106
Wider Opportunities for Women,1001 Connecticut Ave NW #930,Washington,DC,District of Columbia,20010,,www.wowonline.org,38.902854,-77.038967
Harris County Department of Economic Equity and Opportunity,1001 Preston Street,Houston,TX,Harris County,77002,,deeo.harriscountytx.gov,29.761503,-95.360679
National Center for Economics,1003 Barberry Way,Joliet,IL,Will County,60431,,ncfeco.org,41.539046,-88.270031
"Near Northwest Neighborhood, Inc.",1007 Portage Ave,South Bend,IN,St. Joseph County,46616,,nearnorthwest.org,41.688673,-86.263151
City of Winston-Salem/Human Relations,101 N. Main St,Winston-Salem,NC,Forsyth County,27101,,http://cityofws.org,36.095266,-80.243105
City of Dayton,101 West Third Street,Dayton,OH,Montgomery County,45402,,daytonohio.gov,39.75939,-84.19397
Parity Baltimore Incorporated,1014 W 36th St,Baltimore,MD,City of Baltimore,21211,,https://www.parityhomes.com/,39.331254,-76.633449
The Mary & Eliza Freeman Center for History and Community,"1019 Main St, Suite 210",Bridgeport,CT,Fairfield County,06604,,www.freemancenterbpt.org,41.178401,-73.189358
